G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4254475	0.0178292	0.9079888	0.4482474	0.1723238	0.2734886	0.8437655	0.6482012	1.0045327	0.3653047	0.9869899	0.6206238	0.9349461	0.1083226	0.0368675	0.2256093	0.1117253	1.0800082	0.0399503	0.6603971	1.0346213	0.9011358	0.9739229	0.6256499	0.9880634	0.7353095	0.4934248	1.1063053	0.7122572	1.0794403	0.8420724	0.7247309	0.9853841	0.5248142	0.0003697	0.5563648	0.0776347	0.5706227	0.6082623	0.7673976	0.9222203	0.8857487	1.1046340	0.8150785	0.9848604	0.7326112	0.7037741	1.0496808	0.0981623	1.1198368	0.8863081	0.6495072	1.0270533	1.0965015	0.8241006	0.9877679	0.6780309	0.5808716	0.8590796	0.9028564	0.8229091	0.3876555	0.5562772	0.8097724	0.4570847	0.5336089	1.0451680	0.2557528	1.1535482	0.6597447	0.8942617	0.4249424	0.0795519	0.3636986	0.8648596	1.0002136	0.7619097	0.7836192	0.7378934	0.9739887	0.5887946	0.8649440	0.6137221	0.4393908	0.0872259	0.9819518	0.8725998	0.2197876	1.0056932	0.8813589	0.0621631	0.8155049	0.9851822	1.2646203	0.9453261	0.2137654	0.7612080	0.6467037	0.6306934	0.9919024
0.4424002	0.0505248	0.8693676	0.4458513	0.1733112	0.2748892	0.7640486	0.7478698	1.0225891	0.4341062	1.1179902	0.7146028	0.8111967	0.1231047	0.0505140	0.2975357	0.2419106	1.2611414	0.0506439	0.7163463	1.0336536	0.9146476	0.9414748	0.6861800	0.8885913	0.9048997	0.2825065	0.9701808	0.8101129	0.9523960	0.9587827	0.9123965	0.7673114	0.5914803	0.0000426	0.3718199	0.0371569	0.6044754	0.6884464	0.7603775	0.9413569	0.9887528	0.8736667	0.8866627	0.8917645	0.8785064	0.7255361	0.8801770	0.0752592	0.9077098	0.9014807	0.5016915	0.8026853	1.0495804	0.8278625	1.0202466	0.6058727	0.4494197	0.6983188	1.0203906	0.7701231	0.3672803	0.5006669	1.0380160	0.6890975	0.3889141	1.1068994	0.3354676	0.8626441	0.9664818	1.0767023	0.5588723	0.0498163	0.4558838	0.8413423	0.7741201	0.8311243	0.8000957	0.4522703	1.0735477	0.6003619	0.7836355	0.7474196	0.4104805	0.0511617	0.8845948	0.9789981	0.2806456	0.9272895	0.8445568	0.0921717	0.6562352	0.9533414	1.1242883	0.9544244	0.2650421	0.6007971	0.5083606	0.4285782	1.0016349
1.0568470	0.2084539	0.4674478	0.5050774	0.2448833	0.2084515	0.6653546	1.1920920	0.8240683	0.1469875	0.8983826	0.7682504	0.9977339	0.1204023	0.2419859	0.2113687	0.3264729	0.9625239	0.1157165	0.9560639	0.8181251	1.1152660	0.8207034	0.9120989	0.7502419	1.0356667	0.8326081	0.9683261	0.9917151	1.0817748	0.6004163	0.5679697	0.6818671	0.0065380	0.1638133	0.6103720	0.1233899	0.8470270	0.7750511	1.4113091	0.8490055	0.1979364	0.9288869	0.7086914	0.9610179	0.9275463	0.9971930	0.5725521	0.0275358	0.9295881	0.9537256	0.6560425	0.9029072	1.2575504	0.0689574	0.8892793	0.8361193	0.1167799	0.8828178	1.0327622	0.8965146	0.4640399	0.5942767	0.4908911	0.8666110	0.6364521	0.7783536	0.4356661	1.1162777	1.0470131	0.8417742	0.0007305	0.1761747	0.6104557	0.9717135	0.8650068	0.7706215	0.9933816	0.8864750	0.8413561	0.8387609	0.6842899	0.6279202	0.0185842	0.0263841	1.0282901	0.9925419	0.0867937	0.8426642	0.8148515	0.4809476	0.3932770	0.8619509	0.7923458	0.4791854	0.6768005	0.5511587	1.0314697	0.2482136	0.9592563
1.1172264	0.0030010	0.3176543	0.3872039	0.2537921	0.1793604	0.9392439	0.8686680	0.9630279	0.2337850	0.9625490	0.6135118	1.0002904	0.0566652	0.0489518	0.3086570	0.2264085	1.0476867	0.1145880	0.7996174	0.6267899	0.9518253	1.1507689	0.9553157	0.9965467	1.0580712	0.4500350	0.8689945	1.0849589	0.6496922	0.8610401	0.4526800	0.8427878	0.4256210	0.6952675	0.3895140	0.0598707	0.4764276	0.5937956	1.0582694	0.9597801	0.8030093	0.7301000	1.2190505	0.9998054	0.9627121	1.1305295	0.8492091	0.1279712	1.0201919	1.0002283	0.5996740	0.5227113	0.8456124	0.6824762	0.5446141	0.7564996	0.4260966	1.1118453	1.1205669	0.8558812	0.5401150	0.5667603	0.9069476	0.8953396	0.5876209	1.1815301	0.2416176	0.8316970	0.9454362	1.0134666	0.3584164	0.0828756	1.0623340	0.8677101	0.8549061	0.8465641	0.8738035	0.5768702	0.8718221	0.9025629	0.8206489	0.5862221	0.3846876	0.5034284	0.8366212	0.8378695	0.2779554	1.0322601	0.4976768	0.4593581	0.3962239	1.0366203	1.0200542	0.9363910	0.5743217	0.4409322	1.0041181	0.1543616	0.9205907
0.9710677	0.0010565	0.3546514	0.4745322	0.2077183	0.1028334	0.7458708	0.9097533	1.1518654	0.3189882	0.9976735	0.4774139	0.9207092	0.0866040	0.1141426	0.3339036	0.2541420	1.1983442	0.0467167	0.9503748	0.7908513	1.0311177	0.9042632	1.1272433	0.8095737	1.1844603	0.2467635	0.9705724	1.0458520	0.8916934	0.8734481	0.5460480	0.7372571	0.5120645	0.7161517	0.2784015	0.0680497	0.5333232	0.6235398	1.0806348	0.9474204	0.9891601	0.8979350	0.7765232	0.9724405	0.7541887	1.0732397	0.8857213	0.1269658	1.0873327	0.9800976	0.6664646	0.5787450	0.7890057	0.5354781	0.5197165	0.5293264	0.5630684	1.0245117	0.7971912	1.0772547	0.6269700	0.4941094	0.9692672	0.8514483	0.7236681	1.0589106	0.2161704	0.7510130	0.9002975	0.8939179	0.4865657	0.0549406	0.8734844	0.8701537	0.9372047	0.8969641	0.7435130	0.7489062	0.8546654	0.8454993	1.1780033	0.6454491	0.2444093	0.3950956	0.9337258	0.7788630	0.2024811	0.9418083	0.5886394	0.4269583	0.4105657	0.7762352	0.9562021	0.7499534	0.6351148	0.3943150	0.9038510	0.2066904	1.0232298
1.1393856	0.1220468	0.4024654	0.3484362	0.1686139	0.2557736	0.9240550	0.8239395	1.0251451	0.3108728	1.1869221	0.3154607	0.9431927	0.0098672	0.1387123	0.2153620	0.1140147	0.5404366	0.0048600	0.9621104	1.0502655	0.9139089	0.7673320	0.7192570	1.0209740	0.7641297	0.5070197	1.0293192	1.1286336	0.7916061	0.8966146	0.9799838	1.1555472	0.7031125	0.7023078	0.5651417	0.1192454	0.8050742	0.5416185	0.9406354	1.0441253	0.9338761	0.9260474	0.9399769	1.0245535	1.1445155	1.0636380	0.9826023	0.2360942	1.0716033	0.8937839	0.6782491	1.0116836	1.1010068	0.7898208	1.1958500	0.4686627	0.0496357	1.0387227	0.7536705	0.9716329	0.0689301	0.8203664	1.0274074	0.6400674	0.6377909	0.9394050	0.1588411	0.9000788	1.0108490	0.5569718	0.4498955	0.0240820	1.0768234	0.7500881	0.5783859	0.5047429	0.7601732	0.1973233	0.4556166	0.9847065	0.8185748	0.6171472	0.4325240	0.1149944	1.0534060	0.7519603	0.4496060	0.8442488	0.6449418	0.4148123	0.6089823	0.4313533	1.0516671	1.2087690	0.7920635	0.4906078	0.8430025	0.7393135	0.9576321
1.0648694	0.1405077	0.4817628	0.4748571	0.1826433	0.1124296	1.0817475	0.9986816	1.1609344	0.3594490	0.9899236	0.2495373	0.7279727	0.0402918	0.0953486	0.2901524	0.2242412	0.6869310	0.0637418	1.1237410	0.8518117	0.8923343	0.9391336	0.7790984	0.9873576	0.7041341	0.3155073	1.1137076	0.8721507	1.1744693	0.7857348	1.0092749	1.0417250	0.6642998	0.3684840	0.4129278	0.1101178	0.6091577	0.7119845	1.0227678	1.0008776	0.9743321	0.9718363	1.1296400	1.1071152	0.9037315	0.7915329	0.8264573	0.2723370	1.1919912	0.8852089	0.5917043	0.9192393	1.1010921	0.8275810	1.0641743	0.5915285	0.0650289	0.8824358	0.8465103	0.9844186	0.1240210	0.9733412	1.0055175	0.5438040	0.6163147	1.1600922	0.1801701	0.8780525	0.8812697	0.5262331	0.5101819	0.0443481	1.2653560	0.8456887	0.5853741	0.4485682	0.6223199	0.1720155	0.5679252	1.2084489	0.9169595	0.6676787	0.2828012	0.1727032	1.0027036	0.8727999	0.2844341	1.0140067	0.5742843	0.3616509	0.6894120	0.5427445	1.0357102	0.9507260	0.8122680	0.6305545	0.8254085	0.7404013	1.0638719
0.8761173	0.0738140	1.0582917	0.7303661	0.0536562	0.1751093	1.2026480	1.0474727	0.9950170	0.1131998	1.0069288	0.6067220	0.9981924	0.0634610	0.0142823	0.1833889	0.1986204	0.9692602	0.0733550	1.1097794	1.1169306	1.0786923	0.9394369	0.8810516	0.8552596	1.0136576	0.6614275	1.0889391	0.7913489	1.1100887	0.9112987	0.2426020	0.9751113	0.5517346	0.7574010	0.3586064	0.1800301	0.5535469	0.7830663	1.2288374	0.7592282	1.2387194	0.7665649	0.4268638	1.1412218	0.5908691	0.8322323	0.5416728	0.1114367	0.9717431	0.8546469	0.6809952	0.7642229	1.1067610	0.8626592	0.8743032	0.8895407	0.3824006	0.7314582	1.1512934	0.9457924	0.5216401	0.5625739	1.0015395	0.4762222	0.6777275	0.7096920	0.9215588	1.0800231	0.6182101	1.1200499	1.0374213	0.5276229	0.7764601	0.5425715	1.0097403	0.9991489	0.8373024	0.7126227	0.9075426	0.9578511	0.9785595	0.3306502	0.3299996	0.1138195	0.7332296	0.8569443	0.1727691	1.0045760	0.5513488	0.5385651	0.6685410	0.8233111	0.9785150	0.8857370	0.1924705	0.5753684	0.8637658	0.2539319	0.7990489
1.2059661	0.1534070	0.7608608	0.6558457	0.1577311	0.1417537	1.0397687	1.0082894	1.0352850	0.0720267	1.1206603	0.6717292	1.2182177	0.0460505	0.0114102	0.1863599	0.1850462	1.0598181	0.0118485	0.9646477	1.0654075	1.1489509	0.7184449	0.8062639	0.9509683	1.0048094	0.5254958	0.9614453	0.9918658	0.9894985	0.7037243	0.2405566	0.7893551	0.8316567	0.3386598	0.4130643	0.1534677	0.7614547	0.7442946	0.9756531	0.7438348	1.0130307	0.7383340	0.4000622	0.9703385	0.5271387	0.7660179	0.4563984	0.1306065	0.9480476	0.9217052	0.5833434	0.6389726	1.0756029	0.7855876	1.0394470	0.7876496	0.3483107	0.6999706	0.9014935	1.1062146	0.5250753	0.6069339	1.1225718	0.5460911	0.5434863	0.6598016	0.8111347	1.0032245	0.4906859	1.0578869	0.8260505	0.3824173	0.8464435	0.5862007	0.9732014	0.9224515	0.7046699	0.7737106	1.0365614	1.0508109	0.9421669	0.3392642	0.3497706	0.0731643	0.8260904	1.0207902	0.1645269	1.0794212	0.8325084	0.3154556	0.6160981	1.0125466	1.2031242	0.8350988	0.1388161	0.6219433	0.8529153	0.2557983	0.6788088
1.0006755	0.0789863	0.8036309	0.8389751	0.0883061	0.1510893	1.0715181	1.1302137	1.1108173	0.0959753	1.0508803	0.7816836	0.9827599	0.0807913	0.0162570	0.3144696	0.1651367	1.0086517	0.0791973	0.8270621	0.9471790	0.9641556	1.0285416	0.9098770	0.8286351	1.0435386	0.7684948	0.9958157	0.9047884	1.0954029	0.7485827	0.3322200	1.1231056	0.4745574	0.4961837	0.2763906	0.0804413	0.7783623	0.6423529	1.0867594	0.6975240	1.1151278	0.7468922	0.3713249	0.9817162	0.6507953	0.8010672	0.5937883	0.1650155	1.0138809	1.0306037	0.7345350	0.8091217	0.9828421	0.8272026	0.8708468	0.8454702	0.5813796	0.8275905	0.8105844	0.8498450	0.6117240	0.4584971	0.8528268	0.6499842	0.6424598	0.7061343	0.8449533	1.0402730	0.6510307	0.9048213	0.9127666	0.5700606	0.5892863	0.4442860	1.1762895	0.9172580	0.6605392	0.7106530	0.9566561	1.1264949	0.7905728	0.2563326	0.2951186	0.1880452	0.6722781	1.0927114	0.2104146	0.8848470	0.7414247	0.3415161	0.5170167	0.8097216	0.9323826	0.7279982	0.1781175	0.7372791	0.8557140	0.2035196	0.7479114
